timestamp, index, name, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/08/10 16:10:24.413, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:24.417, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:25.419, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:25.423, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:26.426, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:26.430, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:27.432, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:27.436, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:28.439, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:28.443, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:29.445, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:29.450, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:30.452, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:30.456, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:31.459, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:31.463, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:32.465, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:32.469, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:33.472, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:33.476, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:34.478, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:34.482, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:35.485, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:35.489, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:36.491, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:36.493, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:37.495, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:37.497, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:38.499, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
